Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,16.049999,16.92,15.759,16.18,643900,16.18
2016-02-29,15.40,15.87,15.26,15.73,358500,15.73
2016-02-26,15.40,15.62,15.10,15.28,391800,15.28
2016-02-25,13.82,15.91,13.82,15.43,505900,15.43
2016-02-24,13.20,14.09,11.60,14.01,712600,14.01
2016-02-23,13.82,13.98,13.60,13.90,420100,13.90
2016-02-22,13.20,13.99,13.05,13.96,299000,13.96
2016-02-19,12.86,12.99,12.52,12.96,793600,12.96
2016-02-18,13.00,13.18,12.52,12.88,1721000,12.88
2016-02-17,12.31,13.17,12.28,12.92,260100,12.92
2016-02-16,12.64,12.64,11.80,12.17,240300,12.17
2016-02-12,11.27,12.08,11.02,11.99,198900,11.99
2016-02-11,10.88,11.24,10.65,11.12,157400,11.12
2016-02-10,11.41,11.62,11.07,11.12,192900,11.12
2016-02-09,11.58,11.67,11.225,11.39,173900,11.39
2016-02-08,11.80,11.80,11.33,11.74,178900,11.74
2016-02-05,12.68,12.82,11.91,11.97,210100,11.97
2016-02-04,11.73,12.97,11.73,12.79,225900,12.79
2016-02-03,11.83,11.83,11.19,11.71,561700,11.71
2016-02-02,12.40,12.47,11.66,11.68,277600,11.68
2016-02-01,12.64,12.70,12.38,12.57,254900,12.57
2016-01-29,12.57,12.83,12.48,12.71,398600,12.71
2016-01-28,12.81,12.91,12.42,12.43,149900,12.43
2016-01-27,12.80,12.96,12.53,12.68,142500,12.68
2016-01-26,12.98,13.16,12.75,12.87,194600,12.87
2016-01-25,13.19,13.359,12.81,12.90,286200,12.90
2016-01-22,13.11,13.52,12.92,13.28,440000,13.28
2016-01-21,12.75,13.14,12.62,12.85,565900,12.85
2016-01-20,13.90,13.90,12.40,12.75,1120900,12.75
2016-01-19,14.46,15.00,14.17,14.26,249200,14.26
2016-01-15,14.43,14.90,14.10,14.30,322000,14.30
2016-01-14,14.35,15.11,14.25,14.87,192700,14.87
2016-01-13,14.68,14.96,14.165,14.32,624000,14.32
2016-01-12,15.14,15.34,14.31,14.68,241000,14.68
2016-01-11,15.19,15.19,14.80,15.03,285100,15.03
2016-01-08,15.59,15.60,15.00,15.05,245500,15.05
2016-01-07,15.61,15.83,15.42,15.50,244500,15.50
2016-01-06,15.86,16.049999,15.58,15.83,432200,15.83
2016-01-05,16.42,16.51,15.93,16.120001,191600,16.120001
2016-01-04,16.780001,16.780001,16.08,16.389999,302000,16.389999
2015-12-31,16.860001,17.24,16.379999,17.01,194600,17.01
2015-12-30,16.99,17.15,16.809999,16.889999,190300,16.889999
2015-12-29,17.459999,17.57,16.620001,16.99,184700,16.99
2015-12-28,17.700001,17.799999,16.738001,17.309999,431000,17.309999
2015-12-24,17.77,18.00,17.60,17.799999,90200,17.799999
2015-12-23,17.65,17.98,17.52,17.799999,190800,17.799999
2015-12-22,16.809999,17.700001,16.809999,17.559999,141000,17.559999
2015-12-21,16.75,17.129,16.690001,16.799999,138100,16.799999
2015-12-18,16.60,17.059999,16.51,16.68,403100,16.68
2015-12-17,16.98,17.24,16.639999,16.690001,268300,16.690001
2015-12-16,16.66,17.059999,16.51,16.959999,312500,16.959999
2015-12-15,16.41,17.030001,16.370001,16.620001,388200,16.620001
2015-12-14,16.85,17.059999,16.18,16.280001,226600,16.280001
2015-12-11,16.809999,17.15,16.620001,16.809999,368800,16.809999
2015-12-10,16.98,17.90,16.90,17.09,195200,17.09
2015-12-09,16.959999,17.34,16.74,16.950001,253500,16.950001
2015-12-08,17.200001,17.440001,16.93,16.940001,262300,16.940001
2015-12-07,18.129999,18.25,17.290001,17.33,176300,17.33
2015-12-04,18.02,18.33,17.82,18.24,142100,18.24
2015-12-03,18.540001,18.809999,17.85,18.030001,182000,18.030001
2015-12-02,18.40,18.870001,18.299999,18.42,214700,18.42
2015-12-01,19.02,19.059999,18.450001,18.49,264800,18.49
2015-11-30,19.030001,19.200001,18.91,18.940001,533800,18.940001
2015-11-27,19.35,19.35,18.860001,19.01,88000,19.01
2015-11-25,19.469999,19.59,19.33,19.40,118500,19.40
2015-11-24,19.209999,19.610001,19.059999,19.51,117200,19.51
2015-11-23,18.959999,19.360001,18.92,19.219999,144100,19.219999
2015-11-20,19.52,19.712999,18.950001,19.00,182500,19.00
2015-11-19,18.99,19.50,18.91,19.389999,264800,19.389999
2015-11-18,18.58,19.16,18.40,19.01,235500,19.01
2015-11-17,18.83,19.309999,18.440001,18.50,171600,18.50
2015-11-16,18.50,19.02,18.275,18.870001,257400,18.870001
2015-11-13,18.219999,18.700001,18.200001,18.59,174300,18.59
2015-11-12,18.299999,18.65,18.030001,18.309999,366100,18.309999
2015-11-11,18.370001,18.450001,18.059999,18.379999,97000,18.379999
2015-11-10,18.969999,18.98,18.23,18.370001,162800,18.370001
2015-11-09,19.940001,19.940001,18.530001,18.950001,345400,18.950001
2015-11-06,19.290001,19.950001,19.09,19.940001,163100,19.940001
2015-11-05,19.93,20.162001,18.950001,19.32,249100,19.32
2015-11-04,22.09,22.09,19.48,19.99,576600,19.99
2015-11-03,17.18,19.16,17.18,19.110001,877600,19.110001
2015-11-02,17.67,18.440001,17.67,18.27,479400,18.27
2015-10-30,17.620001,17.73,17.280001,17.66,321500,17.66
2015-10-29,17.59,17.91,17.52,17.620001,180700,17.620001
2015-10-28,18.09,18.209999,17.50,17.700001,417700,17.700001
2015-10-27,17.83,18.065001,17.580999,18.00,439600,18.00
2015-10-26,17.940001,18.25,17.809999,17.98,158600,17.98
2015-10-23,18.610001,18.73,17.950001,17.99,434800,17.99
2015-10-22,18.52,18.77,18.200001,18.549999,200400,18.549999
2015-10-21,18.690001,18.690001,18.129999,18.40,135100,18.40
2015-10-20,18.41,18.780001,18.219999,18.68,219700,18.68
2015-10-19,18.530001,18.67,18.190001,18.450001,105700,18.450001
2015-10-16,19.08,19.190001,18.469999,18.610001,171100,18.610001
2015-10-15,18.76,19.08,18.459999,19.07,405900,19.07
2015-10-14,18.969999,19.16,18.620001,18.73,152300,18.73
2015-10-13,19.10,19.25,18.82,19.02,174300,19.02
2015-10-12,19.450001,19.690001,18.969999,19.18,207200,19.18
2015-10-09,18.75,19.57,18.629999,19.379999,444800,19.379999
2015-10-08,18.059999,18.809999,17.98,18.74,478500,18.74
2015-10-07,18.219999,18.299999,17.75,18.139999,505300,18.139999
2015-10-06,18.00,18.450001,17.940001,18.129999,408200,18.129999
2015-10-05,17.299999,18.07,17.040001,18.030001,510600,18.030001
2015-10-02,17.440001,17.440001,16.84,17.18,561200,17.18
2015-10-01,18.290001,18.860001,17.469999,17.540001,1020600,17.540001
2015-09-30,19.299999,19.58,17.75,18.15,6453600,18.15
2015-09-29,19.07,19.18,18.370001,19.120001,666700,19.120001
2015-09-28,20.27,20.459999,19.07,19.09,449900,19.09
2015-09-25,20.690001,20.790001,20.174,20.469999,428800,20.469999
2015-09-24,20.129999,21.00,19.84,20.65,423500,20.65
2015-09-23,20.299999,20.65,19.985001,20.33,385500,20.33
2015-09-22,20.290001,20.639999,19.709999,20.379999,459800,20.379999
2015-09-21,21.27,22.358999,20.299999,20.370001,818100,20.370001
2015-09-18,22.450001,22.66,20.77,20.77,2145200,20.77
2015-09-17,22.860001,23.00,22.51,22.59,585800,22.59
2015-09-16,22.74,23.190001,22.620001,23.00,693600,23.00
2015-09-15,22.84,22.84,22.389999,22.700001,280400,22.700001
2015-09-14,22.870001,23.07,22.610001,22.74,402800,22.74
